"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kled","Middle",2,"6.3%","9.4%","21.9%","50%","50%",4,2,16,10,"71.4%","10.0%","0%",-13,-6,-6,9.8,"29.4%",249,"13.8%","24.4%",0.51,0.36
"Kled","Top",2,"6.3%","9.4%","21.9%","100%","0%",9,2,17,13,"83.9%","15.4%","0%",-289,-332,-8.5,9.3,"26.4%",450,"24.6%","27.0%",0.44,0.06
"LeBlanc","Middle",6,"18.8%","21.9%","40.6%","50%","50%",16,16,19,2.2,"64.8%","22.5%","50%",293,-50,5.8,8.7,"24.9%",435,"27.1%","23.2%",0.41,0.28
"Lee Sin","Jungle",7,"21.9%","18.8%","40.6%","29%","43%",22,22,35,2.6,"71.3%","22.4%","14%",81,-21,4.1,4.5,"11.4%",222,"11.9%","17.3%",0.8,0.25
"Leona","Support",1,"3.1%","0.0%","3.1%","0%","100%",1,5,4,1,"45.5%","38.5%","0%",-283,161,10,2.2,"8.3%",84,"6.0%","11.2%",1.34,0.34
"Lissandra","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Middle",1,"3.1%","9.4%","12.5%","0%","100%",0,2,11,5.5,"91.7%","12.5%","0%",-61,63,-1,8.4,"23.5%",396,"23.0%","22.0%",0.55,0.3
"Malphite","Top",1,"3.1%","0.0%","3.1%","0%","100%",0,4,2,0.5,"50.0%","22.2%","100%",-252,-35,-23,7.3,"22.3%",348,"25.0%","19.8%",0.46,0.11
"Malzahar","Middle",1,"3.1%","0.0%","3.1%","0%","100%",0,1,2,2,"66.7%","11.1%","0%",-471,-667,-20,10.2,"33.4%",463,"32.2%","27.1%",0.65,0.12
"Miss Fortune","ADC",4,"12.5%","9.4%","21.9%","25%","75%",4,12,19,1.9,"53.5%","23.1%","0%",173,259,2.3,9.9,"30.6%",549,"30.4%","25.3%",0.41,0.5
"Morgana","Support",3,"9.4%","0.0%","9.4%","0%","100%",1,12,14,1.3,"60.0%","27.3%","0%",102,20,-8.3,0.6,"1.9%",162,"9.9%","8.6%",1.39,0.27
"Nocturne","Jungle",1,"3.1%","0.0%","3.1%","100%","100%",4,3,14,6,"72.0%","23.1%","0%",-397,56,-4,5.4,"10.1%",303,"12.0%","16.2%",0.4,0.18
"Olaf","Jungle",7,"21.9%","25.0%","46.9%","57%","57%",16,19,39,2.9,"69.6%","21.6%","57%",424,316,11.3,5,"11.7%",294,"14.7%","17.0%",0.5,0.51
"Orianna","Middle",2,"6.3%","0.0%","6.3%","0%","100%",3,5,2,1,"83.3%","15.2%","50%",145,4,5.5,9.3,"25.9%",369,"31.1%","25.4%",0.54,0.14
"Ornn","Top",6,"18.8%","21.9%","40.6%","50%","100%",8,21,43,2.4,"72.9%","27.3%","17%",-231,-167,-6.7,7.9,"21.5%",341,"18.4%","19.4%",0.4,0.14
