"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gnar","Top",46,"14.2%","14.8%","29.0%","48%","67%",79,127,149,1.8,"49.0%","22.1%","-","-","-","-",9.2,"-",463,"25.2%","24.5%",0.43,0.17
"Gragas","Middle",19,"5.9%","7.4%","29.6%","37%","89%",31,57,109,2.5,"66.0%","21.7%","-","-","-","-",7.3,"-",408,"21.6%","19.3%",0.34,0.24
"Gragas","Top",53,"16.4%","7.4%","29.6%","49%","38%",76,114,263,3,"51.4%","19.5%","-","-","-","-",7.3,"-",444,"21.4%","19.2%",0.38,0.16
"Graves","Jungle",5,"1.5%","0.0%","1.5%","20%","100%",26,16,16,2.6,"80.8%","18.2%","-","-","-","-",7.2,"-",434,"21.3%","26.0%",0.26,0.47
"Gwen","Top",30,"9.3%","26.9%","36.1%","50%","80%",85,76,116,2.6,"53.5%","19.8%","-","-","-","-",9,"-",546,"26.6%","23.9%",0.36,0.2
"Heimerdinger","Support",9,"2.8%","4.0%","6.8%","56%","56%",6,23,55,2.7,"66.3%","25.3%","-","-","-","-",0.9,"-",334,"15.3%","10.5%",1.53,0.5
"Irelia","Top",2,"0.6%","0.0%","0.6%","0%","100%",6,8,1,0.9,"58.3%","26.7%","-","-","-","-",8.2,"-",280,"23.2%","25.2%",0.37,0.1
"Ivern","Jungle",11,"3.4%","7.1%","10.5%","45%","64%",16,12,110,10.5,"77.3%","10.1%","-","-","-","-",5.1,"-",233,"10.7%","16.4%",0.39,0.31
"Janna","Support",3,"0.9%","1.2%","2.2%","67%","67%",1,4,19,5,"74.1%","20.0%","-","-","-","-",0.6,"-",107,"5.6%","8.8%",2.5,0.47
"Jax","Top",74,"22.8%","26.5%","49.4%","50%","49%",209,181,241,2.5,"47.1%","18.1%","-","-","-","-",8.5,"-",490,"22.7%","23.2%",0.48,0.14
"Jayce","Middle",74,"22.8%","36.1%","59.0%","64%","46%",350,162,429,4.8,"73.6%","17.6%","-","-","-","-",8.8,"-",700,"28.9%","25.5%",0.41,0.31
"Jhin","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",84,"25.9%","6.5%","32.4%","54%","77%",321,186,425,4,"72.4%","18.7%","-","-","-","-",9.8,"-",607,"29.9%","27.8%",0.39,0.33
"K'Sante","Middle",11,"3.4%","36.7%","88.0%","36%","36%",24,26,42,2.5,"61.1%","17.8%","-","-","-","-",7.3,"-",269,"14.4%","20.0%",0.4,0.24
"K'Sante","Top",155,"47.8%","36.7%","88.0%","54%","29%",352,337,786,3.4,"54.5%","17.6%","-","-","-","-",7.9,"-",414,"19.6%","21.0%",0.41,0.15
"Kai'Sa","ADC",81,"25.0%","17.9%","42.9%","54%","16%",474,187,418,4.8,"73.1%","17.4%","-","-","-","-",10,"-",686,"29.8%","28.2%",0.6,0.37
"Karma","Support",3,"0.9%","0.3%","1.2%","0%","100%",0,14,13,0.9,"76.5%","31.1%","-","-","-","-",0.7,"-",251,"14.8%","9.5%",1.51,0.36
