year,title,genre,format,CSM target_age,imdb_rating,slope_(1/f),aspect_ratio,dur_(min),shots,ASL,Luminance,Motion,clutter,saturation,char/shot,ave_scale,narr_shifts,%intertitles,lum_w/_titles,mo_w/_titles,clut_w/_titles
1965,Help!,comedy,live,,7,0.29,1.75,89,1481,3.6,126,0.88,0.06,,,,,,,,
1965,Shenandoah,drama,live,,7.4,0.54,1.85,105,1039,6.1,107,0.91,0.08,,2.69,,,,,,
1965,*For a Few Dollars More,action,live,,8.3,0.17,2.35,131,1451,5.4,,0.96,0.04,,,,,,,,
1965,That darn cat!,comedy,live,,6.3,0.72,1.75,116,1380,5.0,125,0.89,0.07,,,,,,,,
1965,*Beach Blanket Bingo,comedy,live,,5.6,0.49,2.35,94,975,5.8,134,0.94,0.05,,,,,,,,
1965,Those Magnificent men,adventure,live,,6.8,0.58,2.35,127,1163,6.7,154,0.88,0.07,,,,,,,,
1965,Thunderball,action,live,,7,0.41,2.35,129,1982,3.9,116,0.84,0.07,,,,,,,,
1965,What's New Pussycat,comedy,live,,6.2,0.34,1.66,135,945,6.8,119,0.92,0.07,,2.07,,,,,,
1970,Airport,drama,live,,6.5,0.35,2.2,134,1036,7.8,125,0.93,0.07,,,,,,,,
1970,AristoCats,animation,animation,,6.8,0.37,1.37,76,1147,5.5,143,0.82,0.08,,,,,,,,
1970,Beneath the Planet of the Apes,action,live,,6,0.68,2.35,94,1224,4.6,134,0.88,0.08,,2.11,3.40,69,,,,
1970,Catch-22,comedy,live,,7,0.20,2.35,117,543,13.0,132,0.90,0.06,,,,,,,,
1970,Five easy pieces,drama,live,,7.5,0.24,1.85,97,778,7.5,127,0.93,0.06,,1.56,3.79,97,,,,
1970,Kelly's Heroes,action,live,,7.5,0.50,2.2,141,1395,6.1,120,0.88,0.07,,,,,,,,
1970,Little Big Man,comedy,live,,7.6,0.28,2.35,139,2474,3.4,119,0.87,0.07,,,,,,,,
1970,MASH,comedy,live,,7.8,0.29,2.35,115,921,7.2,100,0.84,0.07,,2.66,3.93,145,,,,
1970,*Love Story,drama,live,,6.9,0.37,1.85,98,643,9.2,111,0.90,0.04,,,,,,,,
1970,Tora! Tora! Tora!,action,live,,7.5,0.46,2.2,141,1174,7.2,139,0.89,0.07,,,,,,,,
1975,*Hearts of the West,comedy,live,,6.5,0.47,1.85,100,750,8.0,114,0.94,0.04,,,,,,,,
1975,Dog Day Afternoon,drama,live,,8.2,0.23,1.85,122,1458,5.0,120,0.90,0.07,,,,,,,,
1975,Jaws,adventure,live,,8.3,0.48,2.35,121,1086,6.7,138,0.86,0.07,,,,,,,,
1975,Monty Python and the Holy Grail,comedy,live,,8.5,0.40,1.66,85,1019,5.0,128,0.87,0.07,,,,,,,,
1975,One Flew over the Cuckoo's nest,drama,live,,8.8,0.31,1.85,129,1523,5.1,140,0.90,0.06,,,,,,,,
1975,Return of the Pink Panther,comedy,live,,6.9,0.18,2.35,113,800,8.1,131,0.92,0.07,,1.51,,,,,,
1975,Rocky Horror Picture Show,comedy,live,,7,0.68,1.66,96,977,5.9,106,0.87,0.06,,,,,,,,
1975,Shampoo,drama,live,,6.3,0.33,1.85,106,690,9.2,122,0.93,0.07,,,,,,,,
1975,The man who would be king,action,live,,8,0.37,2.35,127,966,7.8,137,0.91,0.08,,2.59,,,,,,
1975,Three days of the condor,drama,live,,7.5,0.35,2.35,116,1217,5.7,110,0.92,0.07,,1.58,,,,,,
1980,Airplane!,comedy,live,,7.8,0.20,1.85,82,687,7.2,103,0.90,0.07,,,,,,,,
1980,Blue Lagoon,adventure,live,,4.9,0.26,1.85,103,1264,4.9,137,0.87,0.07,,,,,,,,
1980,Coal Miner's Daughter,drama,live,,7.4,0.37,1.85,120,718,10.0,104,0.89,0.07,,,,,,,,
1980,Empire Strikes Back,action,live,,8.8,0.98,2.2,118,1740,4.1,116,0.89,0.06,,1.43,3.25,143,,,,
1980,Nine to Five,comedy,live,,6.3,0.32,1.85,107,1068,6.0,116,0.91,0.07,,1.91,3.68,114,,,,
1980,Ordinary People,drama,live,,7.8,0.25,1.85,119,1166,6.1,104,0.92,0.06,,1.66,4.05,186,,,,
1980,Popeye,comedy,live,,4.8,0.79,2.35,109,1333,4.9,113,0.87,0.08,,,,,,,,
1980,Stir Crazy,comedy,live,,6.6,0.21,1.85,108,956,6.7,138,0.87,0.07,,,,,,,,
1980,Superman II,action,live,,6.6,0.63,2.2,122,1887,3.9,134,0.91,0.07,,,,,,,,
1980,Urban Cowboy,drama,live,,5.9,0.45,2.35,131,1353,5.8,106,0.89,0.06,,,,,,,,
1985,Back to the future,action,live,10,8.3,1.00,1.37,109,1327,4.9,107,0.85,0.07,0.36,,,,,,,
1985,Cocoon,adventure,live,13,6.6,0.75,1.85,110,1144,5.8,113,0.91,0.06,0.35,,,,,,,
1985,Color Purple,drama,live,14,7.6,0.29,1.85,147,1194,7.4,116,0.90,0.06,0.37,,,,,,,
1985,Jewel of the Nile,action,live,13,5.7,0.53,2.35,102,1567,3.9,138,0.81,0.07,0.36,,,,,,,
1985,*The Breakfast Club,comedy,live,,7.9,0.16,1.85,93,1355,4.1,139,0.96,0.04, ,,,,,,,
1985,Police Academy II,comedy,live,16,4.8,0.31,1.37,84,991,5.1,116,0.87,0.07,0.39,,,,,,,
1985,Rambo II,action,live,16,5.7,0.67,2.2,92,1852,3.0,120,0.82,0.07,0.32,1.39,,,,,,
1985,Rocky IV,action,live,11,5.8,0.90,1.37,94,2275,2.2,114,0.76,0.06,0.31,,,,,,,
1985,Spies Like Us,comedy,live,12,5.8,0.39,1.85,98,1521,3.9,137,0.92,0.07,0.31,1.88,,,,,,
1985,Witness,drama,live,15,7.6,0.45,1.85,107,1039,6.2,114,0.91,0.06,0.40,1.68,,,,,,
1990,*Back to the Future 3,adventure,live,,7.4,0.24,1.85,110,1419,4.7,107,0.88,0.05,,,,,,,,
1990,Dick Tracy,action,live,10,5.9,0.58,1.37,99,1496,4.0,88,0.88,0.06,0.59,,,,,,,
1990,DieHard 2,action,live,16,7.4,1.06,2.35,116,2281,3.0,106,0.84,0.06,0.41,1.36,4.72,170,,,,
